Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,809,DNN_KP,0.1,1,0.1253728540769070,0.2737651812874190,0.0243961291240323,0.1551006004147170,0.275876601631878,0.3527882019851670,0.6692722712208830,0.6070427522481220,0.6174347613482630,348.5371511596700
test_unseen,145,DNN_KP,0.1,1,0.1396303491130850,0.2715763733670830,0.0245441500097513,0.1384101082172220,0.2736786353337610,0.3626024462113330,0.7286458717828450,0.6370445417375260,0.5916126931287770,66.60588584187440
Combined,954,DNN_KP,0.1,1,0.1273541651845120,0.273304045044819,0.0244186270573963,0.1525637855628960,0.2755425291861470,0.3542798848078030,0.6784709980685110,0.6116027726631780,0.613510023516161,415.4447903315790
test_seen,809,Ridge_Concat_KP,0.1,1,0.1405492676283830,0.2301104387793100,0.0238954793214015,0.1614847260117610,0.3374308922984740,0.3012601614286500,0.7275940947141500,0.615568298405789,0.5695747084543380,376.93724759759600
test_unseen,145,Ridge_Concat_KP,0.1,1,0.1327177890669510,0.2162302431276390,0.0240633360399254,0.1480440552723500,0.3371023077646210,0.294718049203,0.7525559016249400,0.641639830661794,0.5465137315917070,73.81538502370580
Combined,954,Ridge_Concat_KP,0.1,1,0.1394422526693900,0.2279698221048350,0.0239209921350136,0.1594418567693980,0.3373809502047540,0.3002658152308310,0.7314614169115960,0.6195309526795010,0.5660696333546720,450.92697696005400
test_seen,809,KNN_KP,0.1,1,0.0921944239846621,0.1545277738545260,0.0262874093058831,0.1841302083805140,0.372832813995878,0.2494068895376970,0.7346140328229380,0.6114203147435010,0.5506908766409370,488.07572412359000
test_unseen,145,KNN_KP,0.1,1,0.0925056239430305,0.1440017047751460,0.026366295536814,0.1659853027994840,0.3582048775599230,0.2341297653933560,0.7739288401491520,0.6229330245685130,0.5397546767015230,91.28428463529360
Combined,954,KNN_KP,0.1,1,0.0922069611688323,0.1529109752809880,0.0262993993514649,0.1813723348907350,0.3706094903237470,0.247084894777813,0.740705059310098,0.6131701500942630,0.549028665958322,579.6783475925760
test_seen,809,KRR_KP,0.1,1,0.1634096277484960,0.2130319530453460,0.0219642348507667,0.1612078844363480,0.3746391657617130,0.3423572630515280,0.762816618227312,0.6161143587941020,0.5621763035732580,465.22145995544300
test_unseen,145,KRR_KP,0.1,1,0.1707850873425650,0.2188897651221740,0.0218457244450958,0.1421531799598730,0.3588630233540210,0.3620316326076120,0.7925054335610650,0.6365741578318920,0.5462315012483270,86.06477209137100
Combined,954,KRR_KP,0.1,1,0.1644950668578290,0.2138291507012680,0.0219462222629027,0.1583117291438020,0.3722413244104390,0.3453476022398220,0.7674162938424000,0.6192240766772040,0.5597528273289030,551.5392958848780
test_seen,809,RIDGE_LatentReg_KP,0.1,1,0.1507862168011670,0.1951920336782410,0.0218568764058563,0.1643645293093760,0.3807727690721090,0.3529986210200990,0.7559995411345330,0.6099857713005710,0.5573655245227810,511.6688502248060
test_unseen,145,RIDGE_LatentReg_KP,0.1,1,0.1843420276210990,0.2168598282541460,0.0214242098141408,0.1422163224441310,0.3669774597481750,0.3826485110167900,0.8132058472889890,0.6389260773600610,0.550609689908456,92.60890695324910
Combined,954,RIDGE_LatentReg_KP,0.1,1,0.1556337797511470,0.198364381955784,0.0217911147121469,0.1609981875950570,0.3786759977388070,0.3575051556632020,0.7648624899753640,0.6143844551356080,0.5563386943141050,604.5242216190690
test_seen,809,LLM_KNN_KP,0.1,1,0.1204145471508350,0.2122777248996790,0.0272421853717989,0.1735612077596910,0.3507304901874640,0.2685292874058730,0.7371537095333900,0.6076225360808430,0.5861601578257200,383.1577620598380
test_unseen,145,LLM_KNN_KP,0.1,1,0.1405468809313930,0.2288367161262440,0.0265588184711476,0.1480288185751610,0.3406659154659620,0.2899811255918590,0.7727484450701900,0.641466150450483,0.5698881933639690,70.83294267934180
Combined,954,LLM_KNN_KP,0.1,1,0.1233979744608180,0.2146396603337290,0.02713831933344,0.1696804987117280,0.3492007592287460,0.2717897869205150,0.7426683868700770,0.6127664816611340,0.5836869556800660,454.12859898426100
