Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,809,DNN_KP,0.1,1,-0.0288295012125063,-0.0771449088822207,0.0364661465217077,0.2931390124691960,0.2977655796176830,0.3218841593138040,0.670298395928181,0.5415505261505860,0.4922792768137050,667.4198423118990
test_unseen,145,DNN_KP,0.1,1,0.0361565210296998,0.0039866748795132,0.0293059148087069,0.226487518954132,0.5337759039525330,0.3108945912101550,0.7580363717946140,0.7242899012193800,0.7308608025473100,88.59473326059480
Combined,954,DNN_KP,0.1,1,-0.0197545393448037,-0.065888344142541,0.0353778513452034,0.2830085443772840,0.3336371697943630,0.3202138371177570,0.6855692461580980,0.5693253787553810,0.5285416680415590,766.664890209016
test_seen,809,Ridge_Concat_KP,0.1,1,-0.0133802172435281,-0.0733366244344098,0.0374447915435979,0.2833109725558550,0.300513272482045,0.3022124115746680,0.7126565257023120,0.5417943725947730,0.4933311888681500,635.8361379689930
test_unseen,145,Ridge_Concat_KP,0.1,1,0.024623315266846,-0.0024903920850757,0.0302639313427538,0.2190687213661060,0.5284541295520190,0.3005942748846100,0.7525432415814560,0.708593552122155,0.7197307956724680,83.66831530646690
Combined,954,Ridge_Concat_KP,0.1,1,-0.007663471310733,-0.0627468927822982,0.0363533610099266,0.2735466890941010,0.335158371302953,0.3019664683670590,0.719598833845834,0.5671464491476770,0.5277420305732090,730.1285892848110
test_seen,809,KNN_KP,0.1,1,-0.0881753332930932,-0.1613542345044060,0.0402470604887083,0.3270595557145440,0.2991217252006160,0.1898185744161360,0.6826536753143740,0.535654111601254,0.4946723443111790,641.8086858588210
test_unseen,145,KNN_KP,0.1,1,0.0604265346202036,0.0289628452768319,0.0296283347158933,0.2259607279284570,0.5413462408317370,0.3000976841899860,0.7756962368734680,0.7506531099612840,0.7404059774939390,84.75740844684760
Combined,954,KNN_KP,0.1,1,-0.0670633545469664,-0.1339951600615590,0.0386331032171588,0.3116933816799710,0.3359378203437110,0.2065800743293520,0.698847792041431,0.5683321564253680,0.532021795895561,737.049036133635
test_seen,809,KRR_KP,0.1,1,0.0148124758773353,-0.0425346737426158,0.0353406321089356,0.2809013543321200,0.3095215536398920,0.3762179395330980,0.7152682532347390,0.5413689383730000,0.4934933208124240,674.0982405299050
test_unseen,145,KRR_KP,0.1,1,0.089814798972322,0.0385487493644046,0.0279581141224533,0.2123097692800250,0.5482228159809900,0.3814997128998380,0.8097889544765390,0.7250280421174510,0.7241524043854250,90.87448749876480
Combined,954,KRR_KP,0.1,1,0.025457157690489,-0.0309689120975853,0.0342185512828979,0.2704760085956910,0.3458021438280050,0.3770207247932420,0.7317196411091030,0.5692835820238860,0.5285515672674400,775.5954655490770
test_seen,809,RIDGE_LatentReg_KP,0.1,1,0.0185728446165168,-0.0363114792863043,0.0350823431687592,0.2783958212331450,0.310411686589101,0.38505884599652,0.7123528089289030,0.5434727624818900,0.4939005962564380,677.31270835189
test_unseen,145,RIDGE_LatentReg_KP,0.1,1,0.0847331796311557,0.0396174000361726,0.0276963016826024,0.2093778995339110,0.5464318438356770,0.3927147796790020,0.7957713556836960,0.7168071787820680,0.7231320331439740,91.18544316214290
Combined,954,RIDGE_LatentReg_KP,0.1,1,0.0281222320382217,-0.025204760123912,0.0339597268003182,0.2679056759015000,0.3462847712859080,0.3862224837155560,0.7268718597881230,0.5698181402214350,0.5287418523871430,779.1105693419370
test_seen,809,LLM_KNN_KP,0.1,1,-0.0545295448962268,-0.0939785727046843,0.042780036809511,0.2986137438245270,0.2990066354781890,0.227113297780609,0.6806268911227480,0.5507051442520330,0.5063704883543870,563.0366455803080
test_unseen,145,LLM_KNN_KP,0.1,1,0.0673435635434445,0.0694364469945792,0.0322358254087928,0.2091891031918270,0.5292074254506870,0.2925271140025200,0.7638294054822530,0.7558418062741980,0.7498064189311430,73.13285849729010
Combined,954,LLM_KNN_KP,0.1,1,-0.0376928803696512,-0.0713980019579089,0.0411774050976618,0.2850219483405210,0.333995225149061,0.2370556493028070,0.6951083414068390,0.5818841966558210,0.5433707084106020,646.85313587588
test_seen,809,DNN_MultiCtx,0.1,1,0.1860789014849640,0.1465842197326150,0.0280298054527965,0.2071227662418680,0.3298182700363790,0.578054714657447,0.7895071507713460,0.5944185105392250,0.5166872682323860,634.7926251051880
test_unseen,145,DNN_MultiCtx,0.1,1,0.1350526410685990,0.0803267066904378,0.0255647141197375,0.1939985292081590,0.5466558984641370,0.4708755887524930,0.8331392418254510,0.6933965336324490,0.7282411260267030,89.02548825653730
Combined,954,DNN_MultiCtx,0.1,1,0.1795432232266100,0.1379545133087610,0.027655132241797,0.2051279922692390,0.3627757712125050,0.5617643862966310,0.7971013438345610,0.6094623400450080,0.5488416805805790,733.0611877116390
test_seen,809,MLP_Concat_KDP,0.1,1,0.0199143908660071,-0.0286635461068681,0.0353859397801438,0.2783388964021380,0.3126769855719060,0.403183308877297,0.7044187792830200,0.5434247714263850,0.4975414311970400,690.3234821240930
test_unseen,145,MLP_Concat_KDP,0.1,1,0.0472841929165736,-0.0110123961657057,0.029230640860724,0.223098994342931,0.5434218168258670,0.351180067523407,0.7975668061863290,0.6962188370662520,0.7203097297101710,94.89458110209250
Combined,954,MLP_Concat_KDP,0.1,1,0.0241775337759138,-0.0257032773379187,0.0344503859611544,0.2699428945168290,0.3477482649553700,0.3952792522773870,0.7206312523199880,0.5666481881116900,0.5314003444930610,795.6680409030570
test_seen,809,Ridge_Concat_KDP,0.1,1,0.1136118631291070,0.0736180027212059,0.031212525245387,0.2308586937598140,0.3141182281023810,0.4828047323969770,0.7502404483003090,0.5839058752725440,0.5044767872452750,634.3283066604470
test_unseen,145,Ridge_Concat_KDP,0.1,1,0.023429701300133,-0.0017114413775945,0.02803613800427,0.2119686557864850,0.5261109275036850,0.3837964265368350,0.7312713999639860,0.6732279190939680,0.7048160075261430,89.76991520831360
Combined,954,Ridge_Concat_KDP,0.1,1,0.1020523614338180,0.0646941306829782,0.0307297410211082,0.2279875663948950,0.3463393406948220,0.4677563001645660,0.7469388734316450,0.5974820769015860,0.5349266687345050,734.1331723157150
test_seen,809,KNN_KDP,0.1,1,-0.0718014985345549,-0.145848954343163,0.0403287336617591,0.3212208198426380,0.3043268065967090,0.2015065510054250,0.6990272557752020,0.5431005075378380,0.4994922027505360,636.9385387750900
test_unseen,145,KNN_KDP,0.1,1,0.0604265346202036,0.0289628452768319,0.0296283347158933,0.2259607279284570,0.5413462408317370,0.3000976841899860,0.7756962368734680,0.7506531099612840,0.7404059774939390,84.75740844684760
Combined,954,KNN_KDP,0.1,1,-0.0529348533515469,-0.1205554513806770,0.0387023627527963,0.3067420846984490,0.3403517730160790,0.2164915764894510,0.712371540460027,0.5746467626231630,0.5361090762702360,731.9707443048400
test_seen,809,KRR_KDP,0.1,1,0.0574305899437288,0.0045027716908643,0.0336957401047029,0.2667213197573490,0.3159313877385100,0.4368861051515150,0.7345722799792550,0.5549439218031150,0.4984934699738120,676.2469439921150
test_unseen,145,KRR_KDP,0.1,1,0.1049115483005590,0.0603000912983828,0.0267282710353701,0.2048393599761870,0.5468933232076700,0.4262358796854660,0.8034947262543090,0.7172269059594020,0.7248543619061400,90.93342836902750
Combined,954,KRR_KDP,0.1,1,0.0642829354746082,0.012659476321686,0.0326367432335779,0.2573157807969,0.3510356651421030,0.4352673601907420,0.7465682753752300,0.5796095745312720,0.5328984273429820,777.641820869313
test_seen,809,RIDGE_LatentReg_KDP,0.1,1,0.0943732247642954,0.0646617511347145,0.0343122695402255,0.2255727516017840,0.3070202639577920,0.4106399853112720,0.7421577208640990,0.5961358120929680,0.5124160642924500,562.8935929042640
test_unseen,145,RIDGE_LatentReg_KDP,0.1,1,0.1327709317496300,0.1446083261532600,0.0278697903438844,0.1746044007732270,0.5127707810054860,0.4119397717453960,0.7776122684236690,0.7333429822339620,0.7505879798820420,69.0134104369532
Combined,954,RIDGE_LatentReg_KDP,0.1,1,0.0996896230818081,0.0755117857678916,0.0333330667273645,0.2178259896833970,0.3382926171778300,0.4108375419495820,0.7483286073064300,0.6169901513701630,0.5486161982133000,642.6423385315110
test_seen,809,BalancedKRR_lambda0.5_KDP,0.1,1,0.1396712467882830,0.0957339956880913,0.0303517461491066,0.2310768460409700,0.3285977095037750,0.5311496738723240,0.7694888121179620,0.58617572249237,0.5113563699046790,661.4609754028570
test_unseen,145,BalancedKRR_lambda0.5_KDP,0.1,1,0.1370276719250230,0.1084250868695860,0.0228162678157888,0.1517621481704620,0.5253501066188060,0.5822924282462080,0.7874566549228890,0.5943264464305100,0.7284871729927270,86.0315673538032
Combined,954,BalancedKRR_lambda0.5_KDP,0.1,1,0.14204369379765,0.1018568774210390,0.0292064166330363,0.2190216770774240,0.3585024239499800,0.5389229436670960,0.7726161265302110,0.587414564181081,0.5443584311706820,756.1037012779840
test_seen,597,DNN_KP,0.3,1,0.2022499080109650,0.2630568856124820,0.0219727010322638,0.1690761808219270,0.3761679059654480,0.3340475227166620,0.7413788522781390,0.6186374969765610,0.5780793305257730,359.72502066429200
test_unseen,145,DNN_KP,0.3,1,0.0879320797350642,0.1489126417029960,0.0242716585285961,0.1936621057178710,0.4705535235236690,0.1463339133471850,0.7666888274252420,0.6244776397226490,0.6462934524640510,67.10502874262290
Combined,742,DNN_KP,0.3,1,0.1824231301399950,0.2424692305479140,0.0224219582249433,0.1738807079242340,0.394612534733564,0.2973649440662920,0.7458262920004730,0.6197787647638690,0.5914095834651940,434.4429067400750
test_seen,597,Ridge_Concat_KP,0.3,1,0.1777229349104240,0.3017422780807390,0.0257380048430819,0.1707963046091940,0.3116923950618540,0.2490456186583770,0.6988060866237090,0.6220034043361210,0.5938532066540530,225.17623474583700
