Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,2421,DNN_DP,0.1,1,0.0008052957175841,-0.0012847022189995,0.0041687485778636,0.083216012574801,0.0449398610665143,0.0256887303256461,0.2822696040330579,0.5069604880428952,0.5021164819911824,2358.4075069745695
test_unseen,338,DNN_DP,0.1,1,-0.00066561424584,-0.0035961452991986,0.004399754237856,0.0760576637986441,0.0406954957273599,0.0260560628557684,0.1781045014181254,0.4857102093533175,0.4696032198960742,333.17209255627
Combined,2759,DNN_DP,0.1,1,0.0006293032363702,-0.0015564738301589,0.0041970486550935,0.0823390564724664,0.0444198916991224,0.0257337315562301,0.2693387637084456,0.504357155604665,0.4981333422346958,2692.077763686775
test_seen,2421,DNN_KP,0.1,1,-0.0012335407846203,-0.0062078327387613,0.0041733051997184,0.0829735972736333,0.0492374016904438,-0.0001387962290626,0.2858379940871889,0.5070726621874887,0.5034784468388906,2366.5043928652376
test_unseen,338,DNN_KP,0.1,1,-0.0095545778034965,-0.0071968721225004,0.0044022727317461,0.0758405168685042,0.0448195109088751,0.0010964019271137,0.1303550683701972,0.4856104457822536,0.4692578019403478,331.0517701131559
Combined,2759,DNN_KP,0.1,1,-0.0023875983838649,-0.0063309906254243,0.0042013555896515,0.0820997367528164,0.0486961740412339,1.2525618268814996e-05,0.2665366653774934,0.5044433656507111,0.4992861387650569,2698.169333709804
test_seen,2421,Ridge_Concat_KP,0.1,1,0.0692728346318024,0.1784099307342604,0.0053485760610341,0.0832878057311958,0.0164412982710711,0.0071284955713044,0.2548354190545028,0.5117415927051162,0.5281392361195354,293.8939084422357
test_unseen,338,Ridge_Concat_KP,0.1,1,0.0853706914684911,0.1921128824016332,0.0055418899241168,0.0773042999162534,0.0171942130915754,0.0092604878030234,0.1733043356037404,0.4933941497783747,0.5382641567725519,40.884189633676286
Combined,2759,Ridge_Concat_KP,0.1,1,0.0714285310998155,0.1802513958804376,0.0053722585857612,0.0825547774726055,0.0165335364767001,0.0073896820063609,0.2447143190399254,0.5094938813208326,0.5293796214695606,334.67677294762075
test_seen,2421,KNN_KP,0.1,1,0.0714835411808556,0.1130071889814715,0.0042323399471404,0.0826331084649234,0.0375341179024498,0.0089315511232747,0.2947943607071506,0.5083808613237027,0.5138218315147343,1019.5384990200318
