Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,2421,DNN_KP,0.1,1,-0.035842674973339,-0.0524306699858081,0.0038595331785423,0.061197708436343,0.021885630389787,-0.0058899761945568,0.1628208101591533,0.5399974959256374,0.494101497083023,2405.106783411861
test_unseen,338,DNN_KP,0.1,1,-0.0164575010443456,-0.0151643341549938,0.0078051815800558,0.1864098822746479,0.0935277446727504,-0.0083859537020431,0.1605775283331916,0.2493080913619765,0.5135195729690069,327.93549868888465
Combined,2759,DNN_KP,0.1,1,-0.0342073689578988,-0.0473076400937827,0.0043429072849981,0.0765372208529241,0.0306623736401101,-0.0061957537942416,0.1618168238873942,0.5043856732570918,0.4964803697359633,2738.6299445754426
test_seen,2421,Ridge_Concat_KP,0.1,1,-0.0028576577355613,0.1000522916438196,0.005221135426048,0.0632057914473574,0.0097224475465707,0.0023361225613739,0.0540606097407529,0.5428738866079647,0.5018109609565086,561.8627205243885
test_unseen,338,Ridge_Concat_KP,0.1,1,0.0781984019382854,0.1731391093306019,0.0091391647854185,0.1721318441960665,0.0436859640128942,0.0143922099645003,0.1941712776700607,0.2552971238055189,0.5502218398547957,77.63466298762621
Combined,2759,Ridge_Concat_KP,0.1,1,0.0181092924157351,0.1136101392133604,0.0057011259746044,0.0765501212150499,0.0138832552905422,0.0038130915872009,0.1167674821007229,0.5076433879391621,0.5077416884184951,638.3311347221318
test_seen,2421,KNN_KP,0.1,1,-0.0123584366844194,-0.0143676433733612,0.0039518391220481,0.0613261889737212,0.0197573952025413,-0.0056828368649998,0.1822107413777785,0.5403632225759677,0.4962474828211812,1953.3022547159137
test_unseen,338,KNN_KP,0.1,1,0.0316396562701059,0.0433159014117561,0.0078500627932305,0.1813688171495403,0.0895023205961839,0.0182436252995918,0.2425868768844024,0.2486387099819352,0.5307325435205169,261.05379379340957
Combined,2759,KNN_KP,0.1,1,-0.0036153969321661,-0.0055916049239821,0.0044294033122835,0.0760323898883377,0.0283017173421032,-0.0027516501264597,0.2092322285975262,0.5046245907322623,0.500472183986957,2217.8172536878074
test_seen,2421,KRR_KP,0.1,1,-0.0288436524982865,-0.0479028579650482,0.0038351347235153,0.0611633279582236,0.0225425272042945,0.0140918383216066,0.1843947833591122,0.539990756491049,0.4939870764602333,2411.9502763034357
test_unseen,338,KRR_KP,0.1,1,-0.0081631491630697,-0.008370624932444,0.007777384766879,0.1856611713228603,0.0994001648841492,0.0211542043730672,0.1784126831811573,0.2491836550797894,0.5162228439268658,330.2938913151034
Combined,2759,KRR_KP,0.1,1,-0.0271643991574636,-0.0423641336307639,0.0043180925033837,0.0764153290663233,0.0319582146040012,0.0149570357574144,0.1817174797829646,0.5043645149988396,0.4967111393104405,2747.8839028747852
test_seen,2421,RIDGE_LatentReg_KP,0.1,1,-0.0370896014546349,-0.0593543039656074,0.0038595442448854,0.0612057950930771,0.0224718693927219,-0.0315514851105558,0.1825073347067698,0.539967093587383,0.493944842670146,2409.4743980414432
test_unseen,338,RIDGE_LatentReg_KP,0.1,1,-0.0084056003669597,-0.0104167676459775,0.0077895519645138,0.1854169784798973,0.099686739974048,0.0086081233392808,0.1860333387836302,0.2494593458084281,0.5163569347481881,329.8748255454308
Combined,2759,RIDGE_LatentReg_KP,0.1,1,-0.033750568098171,-0.0524248039614023,0.0043410022402585,0.0764226780161454,0.0319313207361392,-0.0266316055686766,0.1840854064614486,0.5043775253563983,0.4966905067232008,2744.949875127862
test_seen,2421,MLP_Concat_KDP,0.1,1,-0.0352388709454617,-0.054430120721756,0.0038485243100867,0.0612298189613245,0.0223580725969537,-0.0161492061164041,0.1722263271360972,0.5398941579286154,0.4935854061587648,2393.7926426850063
test_unseen,338,MLP_Concat_KDP,0.1,1,-0.0125490752036587,-0.0083517165036967,0.0077812418832084,0.185816946428395,0.0979178813163392,0.0082716549362716,0.1519985045395044,0.2501190726493342,0.5173985522482203,326.6266176845456
Combined,2759,MLP_Concat_KDP,0.1,1,-0.0339279841526739,-0.0479728980363758,0.0043303142846119,0.0764927581000957,0.0316147653650408,-0.0131574514821872,0.1631733156243354,0.5043943468287976,0.4965027107539935,2725.946525737455
test_seen,2421,Ridge_Concat_KDP,0.1,1,-0.0002784854092486,0.0984085266766394,0.005162055968064,0.0628827425033561,0.0095666665722753,0.0027252284864099,0.0652640902520185,0.5428027481317539,0.4992682471689133,583.1344766545055
