Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,848,DNN_KP,0.1,1,0.0282278608554535,0.037460449258416,0.0132979870013857,0.1296587822576940,0.1858681974543990,0.2178180992306580,0.3784440061184350,0.5775257874834190,0.5339840424478810,611.0585136118650
test_unseen,106,DNN_KP,0.1,1,0.1342247338606810,0.1989706121228860,0.0248473497626002,0.2134032515578870,0.4107947787533530,0.1762248541099560,0.6154851646162570,0.3375339048486410,0.8111524678770120,55.88785410746060
Combined,954,DNN_KP,0.1,1,0.0478279230054972,0.0666698730999739,0.0145812495304095,0.1389637232910490,0.2108600398209500,0.2131966275505800,0.4347412812616680,0.5508600227462210,0.5647805341622290,665.1543824445910
test_seen,848,Ridge_Concat_KP,0.1,1,0.0209554713026298,0.0351710540091817,0.0159802114144011,0.1314119536315500,0.1983611759508260,0.1244963534183370,0.4621552102878450,0.5850937456690890,0.5470485458037180,517.6163817866590
test_unseen,106,Ridge_Concat_KP,0.1,1,0.1907149502349560,0.2672480445652300,0.0255715144965094,0.2153957312529220,0.4115638641886550,0.1806319834637410,0.6713203349885970,0.3152903442950760,0.8483438595101860,38.36022578955190
Combined,954,Ridge_Concat_KP,0.1,1,0.0483455066157826,0.070494489630579,0.0170459117568576,0.1407434844783690,0.2220503635328070,0.1307336456456040,0.5118319274042730,0.5551155899608650,0.5805258028822150,559.1424844353970
test_seen,848,KNN_KP,0.1,1,0.0256736538152586,0.0546038741557377,0.0158316302334308,0.1323750795595290,0.1932604832879730,0.1452088502337500,0.4224258275128070,0.5994525728088060,0.5435900037617060,482.2554517562130
test_unseen,106,KNN_KP,0.1,1,0.1694402042831960,0.2624077500481160,0.0265814138777917,0.2063209649615610,0.4138943306854630,0.2052361862172700,0.6260846118481640,0.4160545645330540,0.8278524619374760,48.724737668459700
Combined,954,KNN_KP,0.1,1,0.052178705522863,0.0918614620963405,0.0170260506383598,0.1405912890486430,0.2177753552210280,0.1518785542319190,0.4707947887924540,0.5790750163337230,0.5751747213367920,527.4147016938940
test_seen,848,KRR_KP,0.1,1,0.0405965363683684,0.0298724191873712,0.0145943735888744,0.1281344490934220,0.222229493171708,0.1603692547708070,0.4950074034691280,0.586557593696173,0.5498784870023170,612.6993584300140
test_unseen,106,KRR_KP,0.1,1,0.2405199102384700,0.2912347362400980,0.0237411833535685,0.2047718395104070,0.4747267122126860,0.2493486288378120,0.7115202493717210,0.3222692985408540,0.8694292106357280,44.9016532715452
Combined,954,KRR_KP,0.1,1,0.0718281147307226,0.0697025225881431,0.0156106857849515,0.1366497146953090,0.2502847397318170,0.1702558518893630,0.5464292043709940,0.5571922275678040,0.5853841229615840,654.6372815602100
test_seen,848,RIDGE_LatentReg_KP,0.1,1,0.0172970321661045,0.0122846494957418,0.0158138769810546,0.1310540313276410,0.2278358598479880,0.1397632688620090,0.4853351561516290,0.5819148567582020,0.556369904373478,640.6793295346630
